1766,1879,1000
1768,1883,1000
1769,1886,1000
1770,1890,1000
1772,1893,1000
1773,1897,1000
1774,1901,1000
1775,1904,1000
1777,1908,1000
1778,1911,1000
1779,1915,1000
1780,1919,1000
1782,1922,1000
1783,1926,1000
1784,1930,1000
1785,1934,1000
1786,1937,1000
1787,1941,1000
1788,1945,1000
1789,1949,1000
1790,1953,1000
1791,1956,1000
1792,1960,1000
1793,1964,1000
1794,1968,1000
1795,1972,1000
1796,1976,1000
1797,1980,1000
1798,1984,1000
1799,1988,1000
1800,1992,1000
1802,1991,1000
1803,1991,1000
1805,1990,1000
1806,1989,1000
1808,1988,1000
1809,1987,1000
1811,1986,1000
1812,1985,1000
1814,1984,1000
1815,1984,1000
1817,1983,1000
1818,1982,1000
1820,1981,1000
1821,1980,1000
1823,1980,1000
1824,1979,1000
1826,1978,1000
1827,1977,1000
1829,1976,1000
1830,1976,1000
1832,1975,1000
1833,1974,1000
1835,1974,1000
1836,1973,1000
1838,1972,1000
1839,1971,1000
1841,1971,1000
1842,1970,1000
1844,1969,1000
1846,1969,1000
1845,1965,1000
1845,1962,1000
1844,1958,1000
1844,1955,1000
1843,1951,1000
1843,1948,1000
1842,1944,1000
1842,1941,1000
1841,1938,1000
1841,1934,1000
1840,1931,1000
1840,1927,1000
1839,1924,1000
1839,1921,1000
1838,1918,1000
1837,1914,1000
1837,1911,1000
1836,1908,1000
1835,1904,1000
1835,1901,1000
1834,1898,1000
1833,1895,1000
1832,1891,1000
1832,1888,1000
1831,1885,1000
1830,1882,1000
1829,1879,1000
1829,1875,1000
1828,1872,1000
1827,1869,1000
1829,1869,1000
1831,1868,1000
1832,1868,1000
1834,1867,1000
1836,1867,1000
1838,1867,1000
1840,1866,1000
1841,1866,1000
1843,1866,1000
1845,1865,1000
1847,1865,1000
1849,1865,1000
1850,1864,1000
1852,1864,1000
1854,1864,1000
1856,1863,1000
1858,1863,1000
1860,1863,1000
1861,1862,1000
1863,1862,1000
1865,1862,1000
1867,1862,1000
1869,1861,1000
1871,1861,1000
1872,1861,1000
1874,1861,1000
1876,1860,1000
1878,1860,1000
1880,1860,1000
1882,1860,1000
1883,1864,1000
1884,1868,1000
1885,1872,1000
1887,1876,1000
1888,1879,1000
1889,1883,1000
1890,1887,1000
1891,1891,1000
1892,1895,1000
1893,1899,1000
1894,1903,1000
1895,1908,1000
1896,1912,1000
1897,1916,1000
1898,1920,1000
1899,1924,1000
1900,1928,1000
1901,1932,1000
1902,1936,1000
1902,1940,1000
1903,1945,1000
1904,1949,1000
1905,1953,1000
1905,1957,1000
1906,1962,1000
1907,1966,1000
1907,1970,1000
1908,1974,1000
1908,1979,1000
1909,1983,1000
1903,1976,1000
1898,1970,1000
1892,1963,1000
1886,1956,1000
1881,1950,1000
1875,1943,1000
1869,1936,1000
1863,1930,1000
1857,1923,1000
1851,1917,1000
1845,1911,1000
1839,1904,1000
1832,1898,1000
1826,1892,1000
1820,1886,1000
1814,1880,1000
1807,1874,1000
1801,1867,1000
1794,1861,1000
1788,1856,1000
1781,1850,1000
1775,1844,1000
1768,1838,1000
1762,1832,1000
1755,1827,1000
1748,1821,1000
1741,1815,1000
1735,1810,1000
1728,1804,1000
1721,1799,2000
1725,1797,2000
1729,1796,2000
1733,1794,2000
1737,1793,2000
1741,1792,2000
1745,1790,2000
1749,1789,2000
1753,1788,2000
1757,1787,2000
1760,1785,2000
1764,1784,2000
1768,1783,2000
1772,1782,2000
1776,1781,2000
1780,1780,2000
1784,1779,2000
1788,1778,2000
1792,1778,2000
1796,1777,2000
1800,1776,2000
1804,1775,2000
1808,1775,2000
1812,1774,2000
1816,1773,2000
1820,1773,2000
1824,1772,2000
1827,1772,2000
