1805,1975,1100
1800,1954,1100
1795,1933,1100
1789,1913,1100
1783,1893,1100
1776,1874,1100
1769,1855,1100
1761,1837,1100
1753,1818,1100
1744,1800,1100
1735,1782,1100
1726,1764,1100
1716,1747,1100
1706,1729,1100
1695,1712,1100
1683,1695,1100
1672,1677,1100
1660,1660,1100
1647,1643,1100
1635,1626,1100
1622,1609,1100
1608,1592,1100
1594,1576,1100
1580,1559,1100
1566,1542,1100
1552,1526,1100
1537,1509,1100
1522,1493,1100
1506,1476,1100
1491,1460,1100
1475,1444,1100
1460,1428,1100
1444,1412,1100
1428,1396,1100
1411,1381,1100
1395,1365,1100
1379,1350,1100
1362,1335,1100
1346,1320,1100
1329,1306,1100
1312,1291,1100
1296,1277,1100
1279,1264,1100
1262,1250,1100
1245,1237,1100
1228,1224,1100
1211,1212,1100
1194,1200,1100
1177,1188,1100
1159,1177,1100
